time,model_id,model_name,port_name,data
0,1,(48,49),,0.091482
0,2,(47,49),,0.096677
0,3,(45,49),,0.112090
0,4,(44,49),,0.120417
0,5,(42,49),,0.566214
0,6,(41,49),,0.155447
0,7,(38,49),,0.222165
0,8,(36,49),,0.202985
0,9,(35,49),,0.213960
0,10,(33,49),,0.232919
0,11,(30,49),,0.253469
0,12,(28,49),,0.296962
0,13,(27,49),,0.321404
0,14,(25,49),,0.351122
0,15,(24,49),,0.365097
0,16,(22,49),,0.383222
0,17,(21,49),,0.385722
0,18,(20,49),,0.377459
0,19,(19,49),,0.360407
0,20,(17,49),,0.370300
0,21,(14,49),,0.430376
0,22,(13,49),,0.460727
0,23,(11,49),,0.519337
0,24,(8,49),,0.569075
0,25,(7,49),,0.566730
0,26,(6,49),,0.559976
0,27,(5,49),,0.510709
0,28,(3,49),,0.507520
0,29,(1,49),,0.469441
0,30,(0,49),,0.453593
0,31,(40,49),,0.165782
0,32,(49,48),,0.079265
0,33,(45,48),,0.103961
0,34,(44,48),,0.112581
0,35,(42,48),,0.135722
0,36,(41,48),,0.145681
0,37,(40,48),,0.155234
0,38,(39,48),,0.166116
0,39,(36,48),,0.190387
0,40,(34,48),,0.212110
0,41,(33,48),,0.219626
0,42,(32,48),,0.227840
0,43,(31,48),,0.234761
0,44,(28,48),,0.283493
0,45,(27,48),,0.310044
0,46,(26,48),,0.343416
0,47,(25,48),,0.344614
0,48,(21,48),,0.479250
0,49,(20,48),,0.381158
0,50,(19,48),,0.370902
0,51,(17,48),,0.372990
0,52,(16,48),,0.391222
0,53,(14,48),,0.436503
0,54,(12,48),,0.499957
0,55,(11,48),,0.238797
0,56,(10,48),,0.553007
0,57,(5,48),,0.038476
0,58,(4,48),,0.533462
0,59,(3,48),,0.511953
0,60,(2,48),,0.492052
0,61,(1,48),,0.473487
0,62,(48,47),,0.031145
0,63,(46,47),,0.086635
0,64,(45,47),,0.095052
0,65,(44,47),,0.104104
0,66,(43,47),,0.115479
0,67,(41,47),,0.135706
0,68,(39,47),,0.154160
0,69,(38,47),,0.163086
0,70,(36,47),,0.177403
0,71,(35,47),,0.187420
0,72,(34,47),,0.198039
0,73,(32,47),,0.213503
0,74,(31,47),,0.220596
0,75,(30,47),,0.227831
0,76,(29,47),,0.520587
0,77,(28,47),,0.266761
0,78,(27,47),,0.295229
0,79,(26,47),,0.317186
0,80,(25,47),,0.335702
0,81,(24,47),,0.178955
0,82,(23,47),,0.372379
0,83,(22,47),,0.383089
0,84,(21,47),,0.389081
0,85,(20,47),,0.385685
0,86,(19,47),,0.557717
0,87,(18,47),,0.369191
0,88,(17,47),,0.376766
0,89,(15,47),,0.417531
0,90,(14,47),,0.443029
0,91,(12,47),,0.509399
0,92,(11,47),,0.538734
0,93,(8,47),,0.196801
0,94,(7,47),,0.581899
0,95,(8,22),,0.516560
0,96,(4,22),,0.473589
0,97,(2,22),,0.451873
0,98,(11,8),,0.484136
0,99,(18,10),,0.326657
0,100,(49,21),,0.057876
0,101,(47,21),,0.086666
0,102,(46,21),,0.118675
0,103,(40,21),,0.342353
0,104,(2,23),,0.442507
0,105,(34,25),,0.123652
0,106,(38,21),,0.481593
0,107,(45,21),,0.158033
0,108,(15,27),,0.155758
0,109,(36,21),,0.252985
0,110,(10,15),,0.480802
0,111,(35,21),,0.216578
0,112,(10,26),,0.383411
0,113,(32,21),,0.168630
0,114,(25,21),,0.085846
0,115,(30,9),,0.213468
0,116,(35,25),,0.141030
0,117,(28,27),,0.316405
0,118,(24,48),,0.361100
0,119,(24,21),,0.568874
0,120,(18,21),,0.369934
0,121,(6,21),,0.514288
0,122,(33,6),,0.087161
0,123,(26,21),,0.510800
0,124,(5,43),,0.568825
0,125,(5,21),,0.504404
0,126,(47,20),,0.090056
0,127,(46,20),,0.351372
0,128,(44,20),,0.213012
0,129,(47,8),,0.065976
0,130,(24,34),,0.551036
0,131,(6,22),,0.504071
0,132,(32,20),,0.167702
0,133,(13,40),,0.450535
0,134,(18,16),,0.324868
0,135,(14,45),,0.454205
0,136,(10,20),,0.519956
0,137,(6,20),,0.523137
0,138,(3,20),,0.482960
0,139,(9,3),,0.508716
0,140,(1,20),,0.469889
0,141,(45,34),,0.054009
0,142,(0,20),,0.470299
0,143,(22,21),,0.088807
0,144,(22,18),,0.377828
0,145,(45,19),,0.173958
0,146,(20,17),,0.284443
0,147,(25,46),,0.253304
0,148,(42,19),,0.335580
0,149,(13,29),,0.218929
0,150,(36,19),,0.284241
0,151,(37,47),,0.170633
0,152,(24,29),,0.425324
0,153,(15,44),,0.423448
0,154,(21,16),,0.282579
0,155,(33,19),,0.173903
0,156,(44,22),,0.199857
0,157,(10,23),,0.540031
0,158,(49,31),,0.033274
0,159,(30,19),,0.224747
0,160,(35,17),,0.100266
0,161,(27,19),,0.388178
0,162,(23,19),,0.454138
0,163,(19,19),,0.317755
0,164,(0,43),,0.464201
0,165,(18,19),,0.118425
0,166,(9,2),,0.495972
0,167,(13,19),,0.420575
0,168,(15,0),,0.264207
0,169,(12,19),,0.459934
0,170,(33,3),,0.243737
0,171,(8,19),,0.523186
0,172,(42,12),,0.229762
0,173,(7,19),,0.526150
0,174,(14,14),,0.331091
0,175,(48,36),,0.024679
0,176,(2,19),,0.477100
0,177,(15,20),,0.157780
0,178,(48,43),,0.035297
0,179,(0,19),,0.468801
0,180,(47,18),,0.100997
0,181,(44,18),,0.289783
0,182,(15,40),,0.391544
0,183,(41,18),,0.387496
0,184,(47,48),,0.088011
0,185,(1,37),,0.465863
0,186,(19,21),,0.332999
0,187,(37,18),,0.393866
0,188,(11,13),,0.451350
0,189,(12,0),,0.363382
0,190,(47,19),,0.095295
0,191,(36,18),,0.181097
0,192,(35,18),,0.254857
0,193,(46,41),,0.101782
0,194,(46,44),,0.053608
0,195,(32,18),,0.160628
0,196,(18,42),,0.369094
0,197,(41,19),,0.374804
0,198,(31,18),,0.174132
0,199,(14,41),,0.430584
0,200,(25,18),,0.402064
0,201,(24,18),,0.405710
0,202,(43,8),,0.091087
0,203,(39,18),,0.390679
0,204,(18,18),,0.276069
0,205,(10,47),,0.563453
0,206,(17,18),,0.281846
0,207,(10,5),,0.500730
0,208,(14,22),,0.464484
0,209,(39,40),,0.085017
0,210,(29,14),,0.181904
0,211,(23,0),,0.262719
0,212,(4,29),,0.396644
0,213,(14,18),,0.363296
0,214,(8,16),,0.533221
0,215,(3,18),,0.497978
0,216,(26,25),,0.516817
0,217,(1,18),,0.475298
0,218,(0,18),,0.467312
0,219,(2,16),,0.144740
0,220,(45,18),,0.490525
0,221,(46,42),,0.040051
0,222,(47,17),,0.103961
0,223,(45,17),,0.425138
0,224,(46,16),,0.053319
0,225,(44,17),,0.309356
0,226,(7,4),,0.557487
0,227,(42,27),,0.239220
0,228,(43,17),,0.282738
0,229,(13,31),,0.173510
0,230,(16,20),,0.346433
0,231,(38,34),,0.107000
0,232,(40,17),,0.402572
0,233,(35,6),,0.197573
0,234,(9,34),,0.369657
0,235,(35,33),,0.295795
0,236,(28,46),,0.246105
0,237,(40,11),,0.249374
0,238,(15,18),,0.327682
0,239,(20,21),,0.434437
0,240,(0,22),,0.228453
0,241,(22,17),,0.331538
0,242,(44,21),,0.206139
0,243,(47,29),,0.046780
0,244,(41,3),,0.111992
0,245,(39,17),,0.392322
0,246,(17,17),,0.267330
0,247,(16,17),,0.289381
0,248,(7,35),,0.477469
0,249,(13,17),,0.389106
0,250,(7,8),,0.580102
0,251,(12,17),,0.055688
0,252,(43,21),,0.262662
0,253,(28,2),,0.278589
0,254,(6,17),,0.540082
0,255,(39,30),,0.137815
0,256,(5,17),,0.533096
0,257,(3,17),,0.502326
0,258,(2,17),,0.486844
0,259,(21,37),,0.242422
0,260,(1,17),,0.476336
0,261,(20,23),,0.501173
0,262,(49,16),,0.060531
0,263,(7,6),,0.570169
0,264,(2,0),,0.503120
0,265,(42,16),,0.269402
0,266,(17,13),,0.285944
0,267,(15,17),,0.316584
0,268,(41,16),,0.377523
